Column,Border_1,Row_2,Row_3,Row_4,Row_5,Row_6,Row_7,Row_8,Row_9,Row_10,Row_11,Row_12,Row_13,Row_14,Row_15,Row_16,Row_17,Row_18,Row_19,Border,Plants,count (7/26/21),,Plants,count (8/2/21)
1,,,DB_1973p,,,F4_35,F4_35,KSp,KSp,,,,,,,,,,,,DB_1797,5,,DB_1797p,3
2,,,DB_1815p,DB_1844p,F4_60,F4_61,F5_117,DB_1815p,DB_1844p,F4_23,F4_33,F4_01,F4_64,,,,,,,,,,,DB_1800p,7
3,,F5_117,DB_1951p,DB_1841p,F4_33,F4_26,F4_58,DB_1951p,DB_1841p,F4_50,F4_32,F4_41,F5_137,,,,,,,,DB_1800,6,,DB_1806p,8
4,,F4_43,DB_1811p,DB_1880p,F4_65,F5_117,F4_58,DB_1811p,DB_1880p,F4_61,F4_44,F4_58,F4_13,,,,,,,,,,,DB_1811p,1
5,,F4_36,MBp,DB_1800p,F5_117,F5_116,F4_61,,DB_1800p,F5_118,F4_17,F4_02,F5_132,,,,,,,,DB_1806,6,,DB_1815p,1
6,,F4_01,KSp,DB_1806p,F4_70,F5_118,F4_63,KSp,DB_1806p,,F5_113,F4_65,F4_15,,,,,,,,,,,DB_1822p,4
7,,F4_28,DB_1806p,DB_1976p,F4_44,F4_35,F4_58,DB_1806p,DB_1976p,MB,F4_25,F4_03,F5_123,,,,,,,,DB_1811,3,,DB_1828p,3
8,,KS,DB_1976p,,F4_35,F4_63,F4_44,,DB_1845p,,F4_15,MB,F5_02,,,,,,,,,,,DB_1841p,3
9,,F5_136,DB_1828p,HEAN3p,F5_124,F4_21,F4_65,DB_1828p,HEAN3p,F4_13,F4_23,F5_137,F5_117,,,,,,,,DB_1815,2,,DB_1844p,4
10,,F4_03,DB_1841p,,F4_51,F4_69,F4_70,DB_1841p,,F4_70,F5_136,F4_57,,,,,,,,,,,,DB_1845p,5
11,,F4_23,DB_1880p,DB_1919p,,MB,F5_116,,,F4_33,F5_112,F4_64,,,,,,,,,DB_1822,6,,DB_1880p,1
12,,F5_122,DB_1845p,,F4_05,F4_02,F4_32,DB_1845p,,F5_116,MB,F4_60,,,,,,,,,,,,DB_1919p,1
13,,F4_57,HEAN3p,DB_1844p,F4_38,F4_21,F4_03,HEAN3-p,DB_1844p,F4_44,F4_70,F4_13,,,,,,,,,,,,DB_1973p,1
14,,F4_41,,DB_1797p,F4_58,F4_23,F4_02,,DB_1797p,F5_113,F4_26,F5_132,,,,,,,,,DB_1828,4,,DB_1976p,3
15,,F4_51,DB_1800p,DB_1844p,F4_41,F5_132,KS,DB_1800p,DB_1828p,F5_117,F4_50,F5_123,,,,,,,,,,,,F4_01,5
16,,F4_42,DB_1822p,DB_1973p,,F5_130,F4_23,DB_1822p,,F4_01,F4_03,F4_34,,,,,,,,,DB_1841,4,,F4_02,3
17,,F4_41,,DB_1822p,F4_42,,F4_01,,DB_1822p,,F4_61,F4_44,,,,,,,,,,,,F4_03,5
18,,F4_51,DB_1919p,,F4_65,F4_26,F5_107,DB_1919p,DB_1951p,,F4_57,F4_61,,,,,,,,,DB_1844,7,,F4_05,2
19,,F4_32,DB_1797p,DB_1797p,,,F4_17,DB_1797p,DB_1797p,F5_103,F4_58,F5_111,,,,,,,,,,,,F4_110,1
20,,F4_19,,,,,F5_110,,,F4_69,F5_114,F5_116,,,,,,,,,DB_1845,7,,F4_122,1
21,,F5_131,DB_1844p,DB_1811p,F4_58,F4_19,F4_51,DB_1844p,DB_1811p,F5_112,F4_30,F4_26,,,,,,,,,,,,F4_13,2
22,,F4_61,DB_1815p,,F4_32,F4_36,F4_03,DB_1815p,,F4_15,F4_01,F5_104,,,,,,,,,DB_1880,1,,F4_15,1
23,,F4_17,,DB_1844p,F4_61,KS,F4_58,,DB_1844p,F4_62,F4_46,F5_118,,,,,,,,,DB_1881,1,,F4_17,5
24,,F5_127,DB_1811p,DB_1797p,F4_30,,F5_122,DB_1811p,DB_1797p,F4_136,KS,F4_70,,,,,,,,,DB_1919,1,,F4_19,3
25,,F4_50,DB_1806p,DB_1954p,F4_26,,F4_02,DB_1806p,,F4_65,F5_116,F4_17,,,,,,,,,DB_1951,1,,F4_21,4
26,,F5_118,,,F5_113,,F4_25,,,F4_15,F4_58,F5_103,,,,,,,,,DB_1954,1,,F4_23,5
27,,F5_103,DB_1828p,DB_1822p,,F4_43,F5_113,DB_1828p,DB_1822p,F4_01,F5_126,F4_76,,,,,,,,,DB_1973,1,,F4_25,2
28,,F5_102,DB_1841p,,KS,F4_42,F5_109,DB_1841p,,F4_32,F4_36,F4_42,,,,,,,,,DB_1976,6,,F4_26,3
29,,F4_01,DB_1976p,DB_1800p,F5_116,,F4_38,,DB_1844p,F5_127,F5_108,F5_117,,,,,,,,,,,,F4_27,1
30,,MBp,DB_1845p,HEAN3p,F5_104,F4_65,F5_136,DB_1845p,HEAN3p,F4_25,F5_134,,,,,,,,,,F4_01,2,,F4_28,1
31,,F5_110,DB_1822p,,F4_03,F4_57,F4_41,DB_1822p,,F4_34,F5_135,,,,,,,,,,F4_02,3,,F4_30,2
32,,F5_102,DB_1951p,DB_1845p,F4_23,,F5_124,,DB_1845p,F5_123,F4_65,,,,,,,,,,F4_03,4,,F4_32,4
33,,F4_50,,DB_1841p,F4_57,,F4_42,DB_1919,DB_1822p,F5_126,F4_02,,,,,,,,,,F4_05,2,,F4_33,5
34,,,DB_1797p,DB_1976p,F5_108,F5_113,F4_38,DB_1797p,,F4_26,F5_123,,,,,,,,,,F4_110,1,,F4_35,5
35,,F4_46,,,F4_50,F4_17,F4_57,,DB_1828p,F5_136,F4_45,,,,,,,,,,F4_122,1,,F4_36,2
36,,F5_103,DB_1811p,DB_1806p,F5_103,F4_13,F4_46,,DB_1806p,KS,F4_13,,,,,,,,,,F4_13,1,,F4_38,5
37,,F4_44,HEAN3p,,F5_137,F5_133,,HEAN3p,,F4_46,F4_60,,,,,,,,,,F4_17,2,,F4_41,5
38,,F4_33,,DB_1811p,F4_21,F4_03,,,,F4_58,F5_137,,,,,,,,,,F4_19,2,,F4_42,4
39,,F4_35,DB_1800p,DB_1815p,F4_76,F4_32,,DB_1800p,DB_1815p,,F4_57,,,,,,,,,,F4_21,2,,F4_43,3
40,,,DB_1797p,HAEN3p,,MBp,,,,,,,,,,,,,,,F4_23,3,,F4_44,5
,,,,,,,,,,,,,,,,,,,,,F4_25,2,,F4_46,1
,,,dead,db_needed,,,,,,,,,,,,,,,,,F4_26,2,,F4_50,5
,,,,,,,,,,,,,,,,,,,,,F4_27,1,,F4_51,4
,,,,,,,,,,,,,,,,,,,,,F4_32,3,,F4_57,4
,,,,,,,,,,,,,,,,,,,,,F4_33,1,,F4_58,7
,,,,,,,,,,,,,,,,,,,,,F4_35,3,,F4_60,1
,,,,,,,,,,,,,,,,,,,,,F4_36,1,,F4_61,6
,,,,,,,,,,,,,,,,,,,,,F4_38,4,,F4_63,2
,,,,,,,,,,,,,,,,,,,,,F4_41,3,,F4_65,4
,,,,,,,,,,,,,,,,,,,,,F4_42,3,,F4_69,2
,,,,,,,,,,,,,,,,,,,,,F4_43,2,,F4_70,5
,,,,,,,,,,,,,,,,,,,,,F4_44,1,,F4_76,1
,,,,,,,,,,,,,,,,,,,,,F4_51,2,,F5_102,4
,,,,,,,,,,,,,,,,,,,,,F4_57,3,,F5_103,4
,,,,,,,,,,,,,,,,,,,,,F4_58,7,,F5_104,1
,,,,,,,,,,,,,,,,,,,,,F4_61,2,,F5_107,2
,,,,,,,,,,,,,,,,,,,,,F4_63,2,,F5_108,1
,,,,,,,,,,,,,,,,,,,,,F4_65,3,,F5_109,1
,,,,,,,,,,,,,,,,,,,,,F4_69,1,,F5_110,1
,,,,,,,,,,,,,,,,,,,,,F4_70,1,,F5_112,2
,,,,,,,,,,,,,,,,,,,,,,,,F5_113,5
,,,,,,,,,,,,,,,,,,,,,F4_01,1,,F5_116,4
,,,,,,,,,,,,,,,,,,,,,F4_03,1,,F5_117,5
,,,,,,,,,,,,,,,,,,,,,F4_19,1,,F5_118,3
,,,,,,,,,,,,,,,,,,,,,F4_23,2,,F5_122,2
,,,,,,,,,,,,,,,,,,,,,F4_28,1,,F5_124,1
,,,,,,,,,,,,,,,,,,,,,F4_32,1,,F5_125,1
,,,,,,,,,,,,,,,,,,,,,F4_36,1,,F5_127,1
,,,,,,,,,,,,,,,,,,,,,F4_38,1,,F5_130,1
,,,,,,,,,,,,,,,,,,,,,F4_41,2,,F5_131,1
,,,,,,,,,,,,,,,,,,,,,F4_42,1,,F5_132,1
,,,,,,,,,,,,,,,,,,,,,F4_43,1,,F5_134,1
,,,,,,,,,,,,,,,,,,,,,F4_51,2,,F5_136,2
,,,,,,,,,,,,,,,,,,,,,F4_57,1,,F5_137,1
,,,,,,,,,,,,,,,,,,,,,F4_60,1,,HEAN3-SOSMT-060-INDIANBUTTE-06p,3
,,,,,,,,,,,,,,,,,,,,,F4_65,1,,KS,8
,,,,,,,,,,,,,,,,,,,,,F5_102,1,,MB,7
,,,,,,,,,,,,,,,,,,,,,F5_107,2,,,
,,,,,,,,,,,,,,,,,,,,,F5_109,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_113,2,,,
,,,,,,,,,,,,,,,,,,,,,F5_116,2,,,
,,,,,,,,,,,,,,,,,,,,,F5_117,2,,,
,,,,,,,,,,,,,,,,,,,,,F5_118,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_122,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_124,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_125,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_130,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_132,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_134,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_136,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_117,2,,,
,,,,,,,,,,,,,,,,,,,,,F5_122,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_131,1,,,
,,,,,,,,,,,,,,,,,,,,,F5_136,1,,,
,,,,,,,,,,,,,,,,,,,,,HEAN3-SOSMT-060-INDIANBUTTE-06,7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,KS,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,MB,5,,,
